CustomerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,TechSupport,SeniorCitizen,Churn
ID_245,26,107.21215926670573,3834.9264783508406,Two year,DSL,Mailed check,Yes,1,No
ID_246,59,111.07540938567776,872.8211734523595,Month-to-month,Fiber optic,Electronic check,Yes,1,No
ID_247,15,113.63426183886942,5352.235739039185,Two year,DSL,Electronic check,Yes,1,No
ID_248,68,84.8982151361869,3170.215966058328,Two year,DSL,Electronic check,No,0,Yes
ID_249,14,59.348121299861724,1362.0444428862334,Two year,DSL,Bank transfer,Yes,0,No
ID_250,22,112.25693228532099,1109.2419626051721,Two year,Fiber optic,Electronic check,Yes,1,No
ID_251,31,108.04180979958929,4795.8202367627155,One year,Fiber optic,Electronic check,Yes,0,No
ID_252,56,34.06031052158404,1970.0216479089445,Two year,DSL,Mailed check,Yes,1,No
ID_253,47,67.02284275721624,2866.7457701193803,Month-to-month,No,Bank transfer,Yes,0,No
ID_254,17,70.36358947845666,2206.9720080747547,One year,DSL,Bank transfer,Yes,1,Yes
ID_255,15,56.52125791652542,7109.252457967217,Month-to-month,Fiber optic,Credit card,Yes,0,Yes
ID_256,49,105.35860734466884,6774.782040456142,Two year,DSL,Bank transfer,Yes,0,No
ID_257,25,22.035540591799933,2769.334504038845,Month-to-month,DSL,Mailed check,No,1,No
ID_258,63,104.57152160271768,4640.761790494763,Two year,Fiber optic,Electronic check,Yes,0,No
ID_259,63,70.53407628214907,7352.706206979743,Two year,DSL,Electronic check,No,0,Yes
ID_260,42,101.01642134833905,7452.496222401531,Two year,No,Electronic check,Yes,0,No
ID_261,35,32.797613639008645,3150.27592122613,Month-to-month,DSL,Credit card,Yes,0,No
ID_262,28,102.23005403135446,4760.982468895762,Two year,DSL,Bank transfer,Yes,1,No
ID_263,34,21.73258111786122,3825.794609225774,One year,Fiber optic,Mailed check,Yes,0,No
ID_264,50,113.22502063873202,7286.805511216811,Month-to-month,DSL,Credit card,Yes,0,No
ID_265,26,88.63365479318196,7808.8973991199,One year,DSL,Bank transfer,No,1,No
ID_266,43,104.54985549878334,3603.1744628288993,One year,DSL,Credit card,No,1,No
ID_267,1,74.81696547949315,1013.4670184495934,Month-to-month,Fiber optic,Electronic check,Yes,1,Yes
ID_268,5,103.43217444370559,4320.34797970488,Two year,No,Credit card,Yes,1,No
ID_269,54,66.02750367199204,3813.492839800826,Month-to-month,DSL,Mailed check,Yes,1,No
ID_270,8,95.78098705380859,4221.629918385706,One year,No,Bank transfer,No,0,Yes
ID_271,56,55.93310326775646,4881.846607045196,Month-to-month,DSL,Mailed check,Yes,1,No
ID_272,43,100.1088682318015,5795.634265061335,One year,DSL,Bank transfer,No,1,No
ID_273,35,77.80112743726075,4611.491263483851,Month-to-month,Fiber optic,Credit card,No,0,Yes
ID_274,1,34.22004271882578,7871.0356985241215,Two year,No,Mailed check,Yes,1,No
ID_275,30,90.97042866283412,3045.004902144424,One year,DSL,Bank transfer,Yes,1,No
ID_276,36,59.13460156511109,3904.880485998108,Month-to-month,DSL,Mailed check,Yes,0,No
ID_277,68,63.43450118257992,7526.217182990769,Month-to-month,No,Credit card,Yes,1,Yes
ID_278,24,109.49769621323775,193.34854058149813,Month-to-month,Fiber optic,Electronic check,Yes,0,Yes
ID_279,5,101.75575038376769,2661.2141069089034,Month-to-month,DSL,Electronic check,No,1,Yes
ID_280,37,23.975138530352098,2938.465859454459,Two year,No,Credit card,No,1,Yes
ID_281,47,20.935862660289455,5957.231116228045,Two year,No,Bank transfer,No,1,No
ID_282,26,116.97735713326261,7875.135169729798,One year,No,Mailed check,Yes,1,No
ID_283,61,57.04608888766868,2822.382768963266,Two year,DSL,Electronic check,No,0,No
ID_284,6,49.86209325413037,6706.831284387319,Two year,No,Electronic check,Yes,0,No
ID_285,23,34.28436157177132,3208.565492729578,One year,Fiber optic,Electronic check,No,0,No
ID_286,52,28.38379821805021,2189.652372414591,Two year,No,Bank transfer,No,1,No
ID_287,49,32.11014593506059,124.68490244506098,Month-to-month,Fiber optic,Electronic check,Yes,1,Yes
ID_288,57,67.94627311956202,4323.153099794845,Two year,No,Electronic check,Yes,0,Yes
ID_289,62,60.26224829697706,1020.8360709444202,One year,Fiber optic,Credit card,Yes,1,Yes
ID_290,67,105.38300502881451,5550.562863201588,Month-to-month,DSL,Bank transfer,No,1,No
ID_291,24,91.5422099215801,343.20062750527757,Two year,No,Bank transfer,Yes,0,No
ID_292,51,119.74071965008139,3463.5582554625516,Month-to-month,Fiber optic,Electronic check,Yes,0,No
ID_293,36,51.34737415201365,4800.596656667579,Two year,DSL,Bank transfer,Yes,0,Yes
ID_294,42,62.74381707693667,7721.44436413987,One year,No,Bank transfer,No,0,No
ID_295,64,27.35810013521816,1806.166864986162,Month-to-month,No,Mailed check,Yes,0,No
ID_296,14,77.00844082561267,5896.677498359103,One year,No,Bank transfer,No,1,No
ID_297,14,78.96843332462527,2137.9732990216276,One year,Fiber optic,Bank transfer,No,1,Yes
ID_298,59,101.6689397765204,6561.302337079662,One year,Fiber optic,Mailed check,No,0,No
ID_299,17,41.437999497158835,6598.697025986158,One year,Fiber optic,Bank transfer,No,1,No
ID_300,33,24.291471940216507,2406.357595432126,Month-to-month,Fiber optic,Electronic check,No,1,Yes
